2025-11-12 19:09:38 - Bubble     | Asc  | size=    10 | case=few_unique     | duration=0.000013s
2025-11-12 19:09:38 - Selection  | Asc  | size=    10 | case=few_unique     | duration=0.000012s
2025-11-12 19:09:38 - Quick      | Asc  | size=    10 | case=few_unique     | duration=0.000013s
2025-11-12 19:09:38 - Merge      | Asc  | size=    10 | case=few_unique     | duration=0.000022s
2025-11-12 19:09:38 - Shell      | Asc  | size=    10 | case=few_unique     | duration=0.000010s
2025-11-12 19:09:38 - Bubble     | Desc | size=    10 | case=few_unique     | duration=0.000014s
2025-11-12 19:09:38 - Selection  | Desc | size=    10 | case=few_unique     | duration=0.000013s
2025-11-12 19:09:38 - Quick      | Desc | size=    10 | case=few_unique     | duration=0.000013s
2025-11-12 19:09:38 - Merge      | Desc | size=    10 | case=few_unique     | duration=0.000022s
2025-11-12 19:09:38 - Shell      | Desc | size=    10 | case=few_unique     | duration=0.000012s
2025-11-12 19:09:38 - Bubble     | Asc  | size=   100 | case=few_unique     | duration=0.000568s
2025-11-12 19:09:38 - Selection  | Asc  | size=   100 | case=few_unique     | duration=0.000343s
2025-11-12 19:09:38 - Quick      | Asc  | size=   100 | case=few_unique     | duration=0.000064s
2025-11-12 19:09:38 - Merge      | Asc  | size=   100 | case=few_unique     | duration=0.000207s
2025-11-12 19:09:38 - Shell      | Asc  | size=   100 | case=few_unique     | duration=0.000096s
2025-11-12 19:09:38 - Bubble     | Desc | size=   100 | case=few_unique     | duration=0.000605s
2025-11-12 19:09:38 - Selection  | Desc | size=   100 | case=few_unique     | duration=0.000349s
2025-11-12 19:09:38 - Quick      | Desc | size=   100 | case=few_unique     | duration=0.000113s
2025-11-12 19:09:38 - Merge      | Desc | size=   100 | case=few_unique     | duration=0.000212s
2025-11-12 19:09:38 - Shell      | Desc | size=   100 | case=few_unique     | duration=0.000074s
2025-11-12 19:09:38 - Bubble     | Asc  | size=  1000 | case=few_unique     | duration=0.052307s
2025-11-12 19:09:38 - Selection  | Asc  | size=  1000 | case=few_unique     | duration=0.029535s
2025-11-12 19:09:38 - Quick      | Asc  | size=  1000 | case=few_unique     | duration=0.000516s
2025-11-12 19:09:38 - Merge      | Asc  | size=  1000 | case=few_unique     | duration=0.002651s
2025-11-12 19:09:38 - Shell      | Asc  | size=  1000 | case=few_unique     | duration=0.001572s
2025-11-12 19:09:38 - Bubble     | Desc | size=  1000 | case=few_unique     | duration=0.065319s
2025-11-12 19:09:38 - Selection  | Desc | size=  1000 | case=few_unique     | duration=0.031685s
2025-11-12 19:09:38 - Quick      | Desc | size=  1000 | case=few_unique     | duration=0.000504s
2025-11-12 19:09:38 - Merge      | Desc | size=  1000 | case=few_unique     | duration=0.002681s
2025-11-12 19:09:38 - Shell      | Desc | size=  1000 | case=few_unique     | duration=0.001565s
2025-11-12 19:09:38 - Bubble     | Asc  | size=     0 | case=all_equal      | duration=0.000007s
2025-11-12 19:09:38 - Selection  | Asc  | size=     0 | case=all_equal      | duration=0.000008s
2025-11-12 19:09:38 - Quick      | Asc  | size=     0 | case=all_equal      | duration=0.000007s
2025-11-12 19:09:38 - Merge      | Asc  | size=     0 | case=all_equal      | duration=0.000006s
2025-11-12 19:09:38 - Shell      | Asc  | size=     0 | case=all_equal      | duration=0.000006s
2025-11-12 19:09:38 - Bubble     | Desc | size=     0 | case=all_equal      | duration=0.000007s
