2025-11-12 02:08:26 - Quick      | Desc | size=  1000 | case=all_equal      | duration=0.000178s
2025-11-12 02:08:26 - Merge      | Desc | size=  1000 | case=all_equal      | duration=0.001597s
2025-11-12 02:08:26 - Bubble     | Asc  | size=     0 | case=negative_numbers | duration=0.000005s
2025-11-12 02:08:26 - Selection  | Asc  | size=     0 | case=negative_numbers | duration=0.000009s
2025-11-12 02:08:26 - Quick      | Asc  | size=     0 | case=negative_numbers | duration=0.000010s
2025-11-12 02:08:26 - Merge      | Asc  | size=     0 | case=negative_numbers | duration=0.000008s
2025-11-12 02:08:26 - Bubble     | Desc | size=     0 | case=negative_numbers | duration=0.000005s
2025-11-12 02:08:26 - Selection  | Desc | size=     0 | case=negative_numbers | duration=0.000006s
2025-11-12 02:08:26 - Quick      | Desc | size=     0 | case=negative_numbers | duration=0.000006s
2025-11-12 02:08:26 - Merge      | Desc | size=     0 | case=negative_numbers | duration=0.000006s
2025-11-12 02:08:26 - Bubble     | Asc  | size=     1 | case=negative_numbers | duration=0.000007s
2025-11-12 02:08:26 - Selection  | Asc  | size=     1 | case=negative_numbers | duration=0.000007s
2025-11-12 02:08:26 - Quick      | Asc  | size=     1 | case=negative_numbers | duration=0.000007s
2025-11-12 02:08:26 - Merge      | Asc  | size=     1 | case=negative_numbers | duration=0.000005s
2025-11-12 02:08:26 - Bubble     | Desc | size=     1 | case=negative_numbers | duration=0.000006s
2025-11-12 02:08:26 - Selection  | Desc | size=     1 | case=negative_numbers | duration=0.000009s
2025-11-12 02:08:26 - Quick      | Desc | size=     1 | case=negative_numbers | duration=0.000007s
2025-11-12 02:08:26 - Merge      | Desc | size=     1 | case=negative_numbers | duration=0.000008s
2025-11-12 02:08:26 - Bubble     | Asc  | size=    10 | case=negative_numbers | duration=0.000015s
2025-11-12 02:08:26 - Selection  | Asc  | size=    10 | case=negative_numbers | duration=0.000014s
2025-11-12 02:08:26 - Quick      | Asc  | size=    10 | case=negative_numbers | duration=0.000027s
2025-11-12 02:08:26 - Merge      | Asc  | size=    10 | case=negative_numbers | duration=0.000021s
2025-11-12 02:08:26 - Bubble     | Desc | size=    10 | case=negative_numbers | duration=0.000016s
2025-11-12 02:08:26 - Selection  | Desc | size=    10 | case=negative_numbers | duration=0.000013s
2025-11-12 02:08:26 - Quick      | Desc | size=    10 | case=negative_numbers | duration=0.000024s
2025-11-12 02:08:26 - Merge      | Desc | size=    10 | case=negative_numbers | duration=0.000022s
2025-11-12 02:08:26 - Bubble     | Asc  | size=   100 | case=negative_numbers | duration=0.000582s
2025-11-12 02:08:26 - Selection  | Asc  | size=   100 | case=negative_numbers | duration=0.000242s
2025-11-12 02:08:26 - Quick      | Asc  | size=   100 | case=negative_numbers | duration=0.000198s
2025-11-12 02:08:26 - Merge      | Asc  | size=   100 | case=negative_numbers | duration=0.000187s
2025-11-12 02:08:26 - Bubble     | Desc | size=   100 | case=negative_numbers | duration=0.000620s
2025-11-12 02:08:26 - Selection  | Desc | size=   100 | case=negative_numbers | duration=0.000342s
2025-11-12 02:08:26 - Quick      | Desc | size=   100 | case=negative_numbers | duration=0.000208s
2025-11-12 02:08:26 - Merge      | Desc | size=   100 | case=negative_numbers | duration=0.000219s
2025-11-12 02:08:26 - Bubble     | Asc  | size=  1000 | case=negative_numbers | duration=0.067275s
2025-11-12 02:08:26 - Selection  | Asc  | size=  1000 | case=negative_numbers | duration=0.033523s
2025-11-12 02:08:26 - Quick      | Asc  | size=  1000 | case=negative_numbers | duration=0.002405s
2025-11-12 02:08:26 - Merge      | Asc  | size=  1000 | case=negative_numbers | duration=0.002405s
2025-11-12 02:08:26 - Bubble     | Desc | size=  1000 | case=negative_numbers | duration=0.065607s
2025-11-12 02:08:26 - Selection  | Desc | size=  1000 | case=negative_numbers | duration=0.027301s
2025-11-12 02:08:26 - Quick      | Desc | size=  1000 | case=negative_numbers | duration=0.001726s
2025-11-12 02:08:26 - Merge      | Desc | size=  1000 | case=negative_numbers | duration=0.001950s
